name,price
Strange Dust,3.9
Copper Rod,0.01
Lesser Magic Essence,6.9299
Simple Wood,0.0038
Crystal Vial,0.012
Greater Magic Essence,15.0
Light Illusion Dust,
Lesser Eternal Essence,15.83
Small Brilliant Shard,0.2999
Blackmouth Oil,28.8999
Kingsblood,3.14
Iron Ore,7.0
Star Wood,0.4
Large Fang,4.91
Small Glowing Shard,4.27
Lesser Mystic Essence,6.9838
Elemental Earth,19.7505
Greater Mystic Essence,9.425
Vision Dust,3.8028
Large Glowing Shard,15.95
Dragons Teeth,30.0
Green Whelp Scale,22.4
Lesser Nether Essence,14.85
Greater Nether Essence,64.7525
Truesilver Bar,2.871
Small Radiant Shard,1.4235
Aquamarine,33.5
Sungrass,3.4199
Greater Eternal Essence,49.4702
Rich Illusion Dust,
Elixir of Demonslaying,9.95
Large Brilliant Shard,24.9999
Rugged Leather,9.9999
Purple Lotus,5.0
Wildvine,38.0
Essence of Fire,5.9
Firebloom,15.99
Icecap,5.85
Essence of Air,40.2
Essence of Water,28.9999
Essence of Earth,29.2857
Essence of Undeath,29.9999
Righteous Orb,4.0
Living Essence,0.39
Golden Pearl,24.0
Greater Planar Essence,73.0
Primal Earth,10.0
Small Prismatic Shard,17.9
Fel Lotus,0.85
Primal Shadow,0.9556
Primal Air,94.9999
Primal Life,9.8999
Arcane Dust,5.6
Netherbloom,14.598
Lesser Planar Essence,25.126
Major Healing Potion,0.29
Major Mana Potion,1.45
Large Prismatic Shard,35.0
Primal Mana,60.0
Nightmare Vine,10.0
Primal Water,45.0
Void Crystal,79.9899
Primal Fire,10.0
Eternium Ore,15.0
Elixir of Major Strength,34.7886
Primal Might,340.0
Infinite Dust,4.0
Lesser Cosmic Essence,5.275
Greater Cosmic Essence,19.0999
Crystallized Water,2.0
Eternal Earth,4.52
Eternal Air,39.95
Dream Shard,35.0
Eternal Fire,88.94
Eternal Life,19.8502
Abyss Crystal,110.75
Titanium Bar,64.8
Titansteel Bar,330.0
Scarlet Ruby,132.75
